飞机转场记录号,"到达
日期","到达
时刻","到达
航班",到达类型,飞机型号,"出发
日期","出发
时刻","出发
航班",出发类型,"上线
机场","下线
机场",L,到达时刻,出发时刻,F_aI,F_aD,F_oI,F_oD,修正到达时刻,偏移出发时刻,修正出发时刻,到达相对时间min,出发相对时间min,占用开始索引,占用结束索引
PK183,2018-01-19 00:00:00,22:30:00,GN0639,D,73H,2018-01-20 00:00:00, 9:10,GN912,I,DBO,UTB,0,2018-01-19 22:30:00,2018-01-20 09:10:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 09:55:00,2018-01-20 09:55:00,0,595,0,119
PK184,2018-01-19 00:00:00,22:45:00,NV0747,D,323,2018-01-20 00:00:00,9:05:00,NV6446,D,LXM,TAY,0,2018-01-19 22:45:00,2018-01-20 09:05:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:50:00,2018-01-20 09:50:00,0,590,0,118
PK185,2018-01-19 00:00:00,22:50:00,NV617,I,321,2018-01-20 00:00:00, 8:55,NV6616,D,ILH,GPD,0,2018-01-19 22:50:00,2018-01-20 08:55:00,1,0,0,1,2018-01-20 00:00:00,2018-01-20 09:40:00,2018-01-20 09:40:00,0,580,0,116
PK186,2018-01-19 00:00:00,22:50:00,NV6379,D,319,2018-01-20 00:00:00, 9:50,NV872,I,ZCQ,LPK,0,2018-01-19 22:50:00,2018-01-20 09:50:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 10:35:00,2018-01-20 10:35:00,0,635,0,127
PK187,2018-01-19 00:00:00,22:55:00,NV6615,D,319,2018-01-20 00:00:00, 8:25,NV6548,D,HZT,OBP,0,2018-01-19 22:55:00,2018-01-20 08:25:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:10:00,2018-01-20 09:10:00,0,550,0,110
PK188,2018-01-19 00:00:00,23:00:00,NV6557,D,73E,2018-01-20 00:00:00, 6:55,NV3286,D,LXF,ARA,0,2018-01-19 23:00:00,2018-01-20 06:55:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 07:40:00,2018-01-20 07:40:00,0,460,0,92
PK189,2018-01-19 00:00:00,23:10:00,GN0285,D,73A,2018-01-20 00:00:00, 9:25,GN936,I,KOH,UPZ,0,2018-01-19 23:10:00,2018-01-20 09:25:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 10:10:00,2018-01-20 10:10:00,0,610,0,122
PK190,2018-01-19 00:00:00,23:10:00,NV3464,D,325,2018-01-20 00:00:00,10:15:00,NV6160,I,MIX,DKV,0,2018-01-19 23:10:00,2018-01-20 10:15:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 11:00:00,2018-01-20 11:00:00,0,660,0,132
PK191,2018-01-19 00:00:00,23:15:00,GN0363,D,73E,2018-01-20 00:00:00,9:00:00,GN0414,D,IBL,DBO,0,2018-01-19 23:15:00,2018-01-20 09:00:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:45:00,2018-01-20 09:45:00,0,585,0,117
PK192,2018-01-19 00:00:00,23:20:00,GN0455,D,73H,2018-01-20 00:00:00, 7:35,GN0234,D,EZH,UWT,0,2018-01-19 23:20:00,2018-01-20 07:35:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 08:20:00,2018-01-20 08:20:00,0,500,0,100
PK193,2018-01-19 00:00:00,23:20:00,NV3447,D,319,2018-01-20 00:00:00, 9:20,NV6504,D,YJZ,DLH,0,2018-01-19 23:20:00,2018-01-20 09:20:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 10:05:00,2018-01-20 10:05:00,0,605,0,121
PK194,2018-01-19 00:00:00,23:25:00,NV6471,D,323,2018-01-20 00:00:00,11:10:00,NV6656,D,TAY,ZOU,0,2018-01-19 23:25:00,2018-01-20 11:10:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 11:55:00,2018-01-20 11:55:00,0,715,0,143
PK195,2018-01-19 00:00:00,23:30:00,NV3195,D,319,2018-01-20 00:00:00,9:05:00,NV6514,D,UTO,DUV,0,2018-01-19 23:30:00,2018-01-20 09:05:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:50:00,2018-01-20 09:50:00,0,590,0,118
PK196,2018-01-19 00:00:00,23:40:00,GN0643,D,323,2018-01-20 00:00:00,14:10:00,NV6722,D,IBL,EMD,0,2018-01-19 23:40:00,2018-01-20 14:10:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 14:55:00,2018-01-20 14:55:00,0,895,0,179
PK197,2018-01-19 00:00:00,23:55:00,GN0405,D,73E,2018-01-20 00:00:00, 9:25,GN0548,D,ETO,CBW,0,2018-01-19 23:55:00,2018-01-20 09:25:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 10:10:00,2018-01-20 10:10:00,0,610,0,122
PK208,2018-01-19 00:00:00,5:00:00,NV847,I,773,2018-01-20 00:00:00,14:20:00,NV690,I,TZE,TGP,1,2018-01-19 05:00:00,2018-01-20 14:20:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 15:05:00,2018-01-20 15:05:00,0,905,0,181
PK253,2018-01-20 00:00:00,10:00:00,NV6294,D,321,2018-01-20 00:00:00,12:40:00,NV3118,I,QFL,NGN,0,2018-01-20 10:00:00,2018-01-20 12:40:00,0,1,1,0,2018-01-20 10:00:00,2018-01-20 13:25:00,2018-01-20 13:25:00,600,805,120,161
PK254,2018-01-20 00:00:00,10:05:00,NV6513,D,320,2018-01-20 00:00:00,12:30:00,NV305,D,DUV,DUV,0,2018-01-20 10:05:00,2018-01-20 12:30:00,0,1,0,1,2018-01-20 10:05:00,2018-01-20 13:15:00,2018-01-20 13:15:00,605,795,121,159
PK255,2018-01-20 00:00:00,10:10:00,GN0411,D,73H,2018-01-20 00:00:00,12:00:00,GN944,I,TXB,CLL,0,2018-01-20 10:10:00,2018-01-20 12:00:00,0,1,1,0,2018-01-20 10:10:00,2018-01-20 12:45:00,2018-01-20 12:45:00,610,765,122,153
PK256,2018-01-20 00:00:00,10:10:00,NV6443,D,325,2018-01-20 00:00:00,13:05:00,NV6488,D,TAY,TZY,0,2018-01-20 10:10:00,2018-01-20 13:05:00,0,1,0,1,2018-01-20 10:10:00,2018-01-20 13:50:00,2018-01-20 13:50:00,610,830,122,166
PK257,2018-01-20 00:00:00,10:15:00,NV3120,D,73H,2018-01-20 00:00:00,11:15:00,NV3120,I,XVI,GTA,0,2018-01-20 10:15:00,2018-01-20 11:15:00,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:00:00,2018-01-20 12:00:00,615,720,123,144
PK258,2018-01-20 00:00:00,10:15:00,NV632,D,325,2018-01-20 00:00:00,11:45:00,NV632,I,YJZ,OSU,0,2018-01-20 10:15:00,2018-01-20 11:45:00,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:30:00,2018-01-20 12:30:00,615,750,123,150
PK259,2018-01-20 00:00:00,10:20:00,GN0495,D,73A,2018-01-20 00:00:00,11:20:00,GN0460,D,OOH,AIB,0,2018-01-20 10:20:00,2018-01-20 11:20:00,0,1,0,1,2018-01-20 10:20:00,2018-01-20 12:05:00,2018-01-20 12:05:00,620,725,124,145
PK260,2018-01-20 00:00:00,10:20:00,NV323,I,325,2018-01-20 00:00:00,12:15:00,NV614,I,NOM,ILH,0,2018-01-20 10:20:00,2018-01-20 12:15:00,1,0,1,0,2018-01-20 10:20:00,2018-01-20 13:00:00,2018-01-20 13:00:00,620,780,124,156
PK261,2018-01-20 00:00:00,10:20:00,NV687,I,325,2018-01-20 00:00:00,12:15:00,NV6144,I,IOE,JDO,0,2018-01-20 10:20:00,2018-01-20 12:15:00,1,0,1,0,2018-01-20 10:20:00,2018-01-20 13:00:00,2018-01-20 13:00:00,620,780,124,156
PK262,2018-01-20 00:00:00,10:25:00,NV6731,D,325,2018-01-20 00:00:00,11:25:00,NV618,I,ISC,ILH,0,2018-01-20 10:25:00,2018-01-20 11:25:00,0,1,1,0,2018-01-20 10:25:00,2018-01-20 12:10:00,2018-01-20 12:10:00,625,730,125,146
PK263,2018-01-20 00:00:00,10:25:00,NV820,D,320,2018-01-20 00:00:00,11:35:00,NV820,I,MIX,OHP,0,2018-01-20 10:25:00,2018-01-20 11:35:00,0,1,1,0,2018-01-20 10:25:00,2018-01-20 12:20:00,2018-01-20 12:20:00,625,740,125,148
PK264,2018-01-20 00:00:00,10:30:00,GN0457,D,738,2018-01-20 00:00:00,13:05:00,GN0446,D,DHP,MGR,0,2018-01-20 10:30:00,2018-01-20 13:05:00,0,1,0,1,2018-01-20 10:30:00,2018-01-20 13:50:00,2018-01-20 13:50:00,630,830,126,166
PK265,2018-01-20 00:00:00,10:30:00,NV858,D,73H,2018-01-20 00:00:00,12:15:00,NV858,I,LNH,LJY,0,2018-01-20 10:30:00,2018-01-20 12:15:00,0,1,1,0,2018-01-20 10:30:00,2018-01-20 13:00:00,2018-01-20 13:00:00,630,780,126,156
PK266,2018-01-20 00:00:00,10:35:00,NV6713,D,320,2018-01-20 00:00:00,12:25:00,NV6713,D,TIF,AIB,0,2018-01-20 10:35:00,2018-01-20 12:25:00,0,1,0,1,2018-01-20 10:35:00,2018-01-20 13:10:00,2018-01-20 13:10:00,635,790,127,158
PK267,2018-01-20 00:00:00,10:40:00,GN0271,D,73H,2018-01-20 00:00:00,12:00:00,GN0236,D,DHR,SJA,0,2018-01-20 10:40:00,2018-01-20 12:00:00,0,1,0,1,2018-01-20 10:40:00,2018-01-20 12:45:00,2018-01-20 12:45:00,640,765,128,153
PK268,2018-01-20 00:00:00,10:40:00,NV303,I,320,2018-01-20 00:00:00,12:30:00,NV303,D,OHP,YJZ,0,2018-01-20 10:40:00,2018-01-20 12:30:00,1,0,0,1,2018-01-20 10:40:00,2018-01-20 13:15:00,2018-01-20 13:15:00,640,795,128,159
PK269,2018-01-20 00:00:00,10:45:00,NV643,I,320,2018-01-20 00:00:00,12:05:00,NV6732,D,GVL,EMD,0,2018-01-20 10:45:00,2018-01-20 12:05:00,1,0,0,1,2018-01-20 10:45:00,2018-01-20 12:50:00,2018-01-20 12:50:00,645,770,129,154
PK270,2018-01-20 00:00:00,11:00:00,NV305,I,319,2018-01-20 00:00:00,12:15:00,NV6316,D,IJK,ITO,0,2018-01-20 11:00:00,2018-01-20 12:15:00,1,0,0,1,2018-01-20 11:00:00,2018-01-20 13:00:00,2018-01-20 13:00:00,660,780,132,156
PK271,2018-01-20 00:00:00,11:00:00,NV6785,D,320,2018-01-20 00:00:00,13:10:00,NV398,I,EMD,PLB,0,2018-01-20 11:00:00,2018-01-20 13:10:00,0,1,1,0,2018-01-20 11:00:00,2018-01-20 13:55:00,2018-01-20 13:55:00,660,835,132,167
PK272,2018-01-20 00:00:00,11:05:00,NV6307,D,320,2018-01-20 00:00:00,18:05:00,NV6308,D,DUV,DUV,0,2018-01-20 11:05:00,2018-01-20 18:05:00,0,1,0,1,2018-01-20 11:05:00,2018-01-20 18:50:00,2018-01-20 18:50:00,665,1130,133,226
PK273,2018-01-20 00:00:00,11:20:00,NV6535,D,320,2018-01-20 00:00:00,12:10:00,*****,D,DLH,***,0,2018-01-20 11:20:00,2018-01-20 12:10:00,0,1,0,1,2018-01-20 11:20:00,2018-01-20 12:55:00,2018-01-20 12:55:00,680,775,136,155
PK274,2018-01-20 00:00:00,11:25:00,NV841,I,325,2018-01-20 00:00:00,13:15:00,NV610,I,LJY,ILH,0,2018-01-20 11:25:00,2018-01-20 13:15:00,1,0,1,0,2018-01-20 11:25:00,2018-01-20 14:00:00,2018-01-20 14:00:00,685,840,137,168
PK275,2018-01-20 00:00:00,12:00:00,NV835,I,325,2018-01-20 00:00:00,18:10:00,NV830,I,ILH,LJY,0,2018-01-20 12:00:00,2018-01-20 18:10:00,1,0,1,0,2018-01-20 12:00:00,2018-01-20 18:55:00,2018-01-20 18:55:00,720,1135,144,227
PK276,2018-01-20 00:00:00,12:20:00,NV6749,D,320,2018-01-20 00:00:00,13:25:00,NV6510,D,IEH,MZJ,0,2018-01-20 12:20:00,2018-01-20 13:25:00,0,1,0,1,2018-01-20 12:20:00,2018-01-20 14:10:00,2018-01-20 14:10:00,740,850,148,170
PK277,2018-01-20 00:00:00,12:25:00,GN0253,D,73A,2018-01-20 00:00:00,13:35:00,GN0204,D,CQF,TIF,0,2018-01-20 12:25:00,2018-01-20 13:35:00,0,1,0,1,2018-01-20 12:25:00,2018-01-20 14:20:00,2018-01-20 14:20:00,745,860,149,172
PK278,2018-01-20 00:00:00,12:25:00,NV3703,I,73H,2018-01-20 00:00:00,13:55:00,NV3703,D,OHP,XVI,0,2018-01-20 12:25:00,2018-01-20 13:55:00,1,0,0,1,2018-01-20 12:25:00,2018-01-20 14:40:00,2018-01-20 14:40:00,745,880,149,176
PK279,2018-01-20 00:00:00,12:40:00,GN0491,D,738,2018-01-20 00:00:00,15:50:00,GN0326,D,LXM,AVI,0,2018-01-20 12:40:00,2018-01-20 15:50:00,0,1,0,1,2018-01-20 12:40:00,2018-01-20 16:35:00,2018-01-20 16:35:00,760,995,152,199
PK280,2018-01-20 00:00:00,12:55:00,NV674,D,33L,2018-01-20 00:00:00,14:25:00,NV674,I,QFL,EFM,1,2018-01-20 12:55:00,2018-01-20 14:25:00,0,1,1,0,2018-01-20 12:55:00,2018-01-20 15:10:00,2018-01-20 15:10:00,775,910,155,182
PK281,2018-01-20 00:00:00,13:00:00,GN0201,D,73H,2018-01-20 00:00:00,14:05:00,GN930,I,KOA,QVT,0,2018-01-20 13:00:00,2018-01-20 14:05:00,0,1,1,0,2018-01-20 13:00:00,2018-01-20 14:50:00,2018-01-20 14:50:00,780,890,156,178
PK282,2018-01-20 00:00:00,13:05:00,NV3287,D,73E,2018-01-20 00:00:00,16:30:00,NV6556,D,ARA,LXF,0,2018-01-20 13:05:00,2018-01-20 16:30:00,0,1,0,1,2018-01-20 13:05:00,2018-01-20 17:15:00,2018-01-20 17:15:00,785,1035,157,207
PK283,2018-01-20 00:00:00,13:10:00,GN0235,D,73H,2018-01-20 00:00:00,14:20:00,GN0250,D,UWT,YNO,0,2018-01-20 13:10:00,2018-01-20 14:20:00,0,1,0,1,2018-01-20 13:10:00,2018-01-20 15:05:00,2018-01-20 15:05:00,790,905,158,181
PK284,2018-01-20 00:00:00,13:15:00,NV3266,D,325,2018-01-20 00:00:00,14:15:00,NV3269,D,YJZ,YJZ,0,2018-01-20 13:15:00,2018-01-20 14:15:00,0,1,0,1,2018-01-20 13:15:00,2018-01-20 15:00:00,2018-01-20 15:00:00,795,900,159,180
PK285,2018-01-20 00:00:00,13:20:00,NV6155,I,320,2018-01-20 00:00:00,14:25:00,NV6494,D,QVT,AZJ,0,2018-01-20 13:20:00,2018-01-20 14:25:00,1,0,0,1,2018-01-20 13:20:00,2018-01-20 15:10:00,2018-01-20 15:10:00,800,910,160,182
PK286,2018-01-20 00:00:00,13:25:00,NV6735,D,73E,2018-01-20 00:00:00,14:30:00,NV6198,I,EMD,GVL,0,2018-01-20 13:25:00,2018-01-20 14:30:00,0,1,1,0,2018-01-20 13:25:00,2018-01-20 15:15:00,2018-01-20 15:15:00,805,915,161,183
PK287,2018-01-20 00:00:00,13:40:00,GN913,I,73H,2018-01-20 00:00:00,14:45:00,GN938,I,UTB,JDO,0,2018-01-20 13:40:00,2018-01-20 14:45:00,1,0,1,0,2018-01-20 13:40:00,2018-01-20 15:30:00,2018-01-20 15:30:00,820,930,164,186
PK288,2018-01-20 00:00:00,13:40:00,NV6719,D,320,2018-01-20 00:00:00,14:50:00,NV6718,D,IJB,TIF,0,2018-01-20 13:40:00,2018-01-20 14:50:00,0,1,0,1,2018-01-20 13:40:00,2018-01-20 15:35:00,2018-01-20 15:35:00,820,935,164,187
PK289,2018-01-20 00:00:00,13:50:00,GN932,D,738,2018-01-20 00:00:00,14:55:00,GN932,I,DHP,LJY,0,2018-01-20 13:50:00,2018-01-20 14:55:00,0,1,1,0,2018-01-20 13:50:00,2018-01-20 15:40:00,2018-01-20 15:40:00,830,940,166,188
