"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数,E_mn,A_I,A_D,O_I,O_D,到达时刻,出发时刻,conn_gap_min,transfer_time_max,transfer_time_min
NV6785,NV690,D,I,PK271,PK208,1,0.0,0,1,1,0,2018-01-20 11:00:00,2018-01-20 14:20:00,200.0,73.0,55.0
NV6713,NV690,D,I,PK266,PK208,1,0.0,0,1,1,0,2018-01-20 10:35:00,2018-01-20 14:20:00,225.0,73.0,55.0
NV6479,NV690,D,I,PK498,PK208,3,0.0,0,1,1,0,2018-01-20 09:50:00,2018-01-20 14:20:00,270.0,73.0,55.0
NV698,NV690,D,I,PK487,PK208,1,0.0,0,1,1,0,2018-01-20 09:20:00,2018-01-20 14:20:00,300.0,73.0,55.0
NV835,NV690,I,I,PK275,PK208,2,0.0,1,0,1,0,2018-01-20 12:00:00,2018-01-20 14:20:00,140.0,53.0,40.0
NV305,NV690,I,I,PK270,PK208,1,0.0,1,0,1,0,2018-01-20 11:00:00,2018-01-20 14:20:00,200.0,53.0,40.0
NV6535,NV690,D,I,PK273,PK208,1,0.0,0,1,1,0,2018-01-20 11:20:00,2018-01-20 14:20:00,180.0,73.0,55.0
NV6307,NV690,D,I,PK272,PK208,2,0.0,0,1,1,0,2018-01-20 11:05:00,2018-01-20 14:20:00,195.0,73.0,55.0
NV632,NV690,D,I,PK258,PK208,1,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 14:20:00,245.0,73.0,55.0
NV323,NV898,I,I,PK260,PK159,3,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 12:30:00,130.0,53.0,40.0
NV6697,NV898,D,I,PK478,PK159,11,0.0,0,1,1,0,2018-01-20 08:40:00,2018-01-20 12:30:00,230.0,73.0,55.0
NV3120,NV898,D,I,PK257,PK159,2,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:30:00,135.0,73.0,55.0
NV6163,NV898,I,I,PK495,PK159,2,0.0,1,0,1,0,2018-01-20 09:45:00,2018-01-20 12:30:00,165.0,53.0,40.0
NV698,NV898,D,I,PK487,PK159,5,0.0,0,1,1,0,2018-01-20 09:20:00,2018-01-20 12:30:00,190.0,73.0,55.0
NV6294,NV898,D,I,PK253,PK159,3,0.0,0,1,1,0,2018-01-20 10:00:00,2018-01-20 12:30:00,150.0,73.0,55.0
NV6731,NV898,D,I,PK262,PK159,1,0.0,0,1,1,0,2018-01-20 10:25:00,2018-01-20 12:30:00,125.0,73.0,55.0
NV632,NV898,D,I,PK258,PK159,1,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:30:00,135.0,73.0,55.0
NV837,NV898,I,I,PK499,PK159,1,0.0,1,0,1,0,2018-01-20 09:50:00,2018-01-20 12:30:00,160.0,53.0,40.0
NV6513,NV898,D,I,PK254,PK159,1,0.0,0,1,1,0,2018-01-20 10:05:00,2018-01-20 12:30:00,145.0,73.0,55.0
NV323,NV6510,I,D,PK260,PK276,2,0.0,1,0,0,1,2018-01-20 10:20:00,2018-01-20 13:25:00,185.0,81.0,55.0
NV6533,NV6510,D,D,PK493,PK276,1,0.0,0,1,0,1,2018-01-20 09:40:00,2018-01-20 13:25:00,225.0,53.0,35.0
NV6443,NV6510,D,D,PK256,PK276,1,0.0,0,1,0,1,2018-01-20 10:10:00,2018-01-20 13:25:00,195.0,53.0,35.0
NV6313,NV6510,D,D,PK501,PK276,1,0.0,0,1,0,1,2018-01-20 09:55:00,2018-01-20 13:25:00,210.0,53.0,35.0
NV323,NV810,I,I,PK260,PK445,1,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 12:25:00,125.0,53.0,40.0
NV6684,NV810,D,I,PK482,PK445,3,0.0,0,1,1,0,2018-01-20 08:55:00,2018-01-20 12:25:00,210.0,73.0,55.0
NV6697,NV810,D,I,PK478,PK445,1,0.0,0,1,1,0,2018-01-20 08:40:00,2018-01-20 12:25:00,225.0,73.0,55.0
NV3120,NV810,D,I,PK257,PK445,1,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:25:00,130.0,73.0,55.0
NV6713,NV810,D,I,PK266,PK445,1,0.0,0,1,1,0,2018-01-20 10:35:00,2018-01-20 12:25:00,110.0,73.0,55.0
NV6135,NV810,I,I,PK475,PK445,8,0.0,1,0,1,0,2018-01-20 08:35:00,2018-01-20 12:25:00,230.0,53.0,40.0
NV6163,NV810,I,I,PK495,PK445,2,0.0,1,0,1,0,2018-01-20 09:45:00,2018-01-20 12:25:00,160.0,53.0,40.0
NV698,NV810,D,I,PK487,PK445,2,0.0,0,1,1,0,2018-01-20 09:20:00,2018-01-20 12:25:00,185.0,73.0,55.0
NV3992,NV810,D,I,PK474,PK445,1,0.0,0,1,1,0,2018-01-20 08:25:00,2018-01-20 12:25:00,240.0,73.0,55.0
NV6443,NV810,D,I,PK256,PK445,3,0.0,0,1,1,0,2018-01-20 10:10:00,2018-01-20 12:25:00,135.0,73.0,55.0
NV6698,NV810,D,I,PK480,PK445,1,0.0,0,1,1,0,2018-01-20 08:45:00,2018-01-20 12:25:00,220.0,73.0,55.0
NV303,NV810,I,I,PK268,PK445,1,0.0,1,0,1,0,2018-01-20 10:40:00,2018-01-20 12:25:00,105.0,53.0,40.0
NV837,NV810,I,I,PK499,PK445,1,0.0,1,0,1,0,2018-01-20 09:50:00,2018-01-20 12:25:00,155.0,53.0,40.0
NV883,NV6773,I,D,PK466,PK488,30,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 10:40:00,225.0,81.0,55.0
NV3992,NV6773,D,D,PK474,PK488,4,0.0,0,1,0,1,2018-01-20 08:25:00,2018-01-20 10:40:00,135.0,53.0,35.0
NV883,NV6577,I,D,PK466,PK477,16,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 09:50:00,175.0,81.0,55.0
NV343,NV6577,I,D,PK460,PK477,4,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:50:00,235.0,81.0,55.0
NV689,NV6577,I,D,PK464,PK477,1,0.0,1,0,0,1,2018-01-20 06:25:00,2018-01-20 09:50:00,205.0,81.0,55.0
NV659,NV6577,I,D,PK471,PK477,2,0.0,1,0,0,1,2018-01-20 07:20:00,2018-01-20 09:50:00,150.0,81.0,55.0
NV851,NV6577,I,D,PK461,PK477,2,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:50:00,235.0,81.0,55.0
NV883,NV3196,I,I,PK466,PK475,14,0.0,1,0,1,0,2018-01-20 06:55:00,2018-01-20 10:20:00,205.0,53.0,40.0
NV689,NV3196,I,I,PK464,PK475,4,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 10:20:00,235.0,53.0,40.0
NV6157,NV3196,I,I,PK467,PK475,3,0.0,1,0,1,0,2018-01-20 07:00:00,2018-01-20 10:20:00,200.0,53.0,40.0
NV883,NV3280,I,D,PK466,PK174,7,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 09:55:00,180.0,81.0,55.0
NV851,NV3280,I,D,PK461,PK174,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:55:00,240.0,81.0,55.0
NV883,NV6230,I,D,PK466,PK155,4,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 09:00:00,125.0,81.0,55.0
NV343,NV6230,I,D,PK460,PK155,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:00:00,185.0,81.0,55.0
NV871,NV6230,I,D,PK455,PK155,1,0.0,1,0,0,1,2018-01-20 05:20:00,2018-01-20 09:00:00,220.0,81.0,55.0
NV655,NV6230,I,D,PK457,PK155,1,0.0,1,0,0,1,2018-01-20 05:40:00,2018-01-20 09:00:00,200.0,81.0,55.0
NV847,NV6230,I,D,PK453,PK155,14,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 09:00:00,240.0,81.0,55.0
NV309,NV6230,I,D,PK454,PK155,3,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 09:00:00,225.0,81.0,55.0
NV689,NV6230,I,D,PK464,PK155,8,0.0,1,0,0,1,2018-01-20 06:25:00,2018-01-20 09:00:00,155.0,81.0,55.0
NV891,NV6230,I,D,PK458,PK155,4,0.0,1,0,0,1,2018-01-20 05:45:00,2018-01-20 09:00:00,195.0,81.0,55.0
NV851,NV6230,I,D,PK461,PK155,5,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:00:00,185.0,81.0,55.0
NV883,NV6514,I,D,PK466,PK195,3,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 09:05:00,130.0,81.0,55.0
NV847,NV6514,I,D,PK453,PK195,2,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 09:05:00,245.0,81.0,55.0
NV309,NV6514,I,D,PK454,PK195,3,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 09:05:00,230.0,81.0,55.0
NV851,NV6514,I,D,PK461,PK195,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:05:00,190.0,81.0,55.0
NV347,NV6514,I,D,PK456,PK195,4,0.0,1,0,0,1,2018-01-20 05:35:00,2018-01-20 09:05:00,210.0,81.0,55.0
NV883,GN0628,I,D,PK466,PK462,3,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 10:25:00,210.0,81.0,55.0
NV665,GN0628,I,D,PK468,PK462,3,0.0,1,0,0,1,2018-01-20 07:00:00,2018-01-20 10:25:00,205.0,81.0,55.0
NV883,NV6612,I,D,PK466,PK478,2,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 09:45:00,170.0,81.0,55.0
NV343,NV6612,I,D,PK460,PK478,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:45:00,230.0,81.0,55.0
NV665,NV6612,I,D,PK468,PK478,11,0.0,1,0,0,1,2018-01-20 07:00:00,2018-01-20 09:45:00,165.0,81.0,55.0
NV883,NV316,I,I,PK466,PK112,1,0.0,1,0,1,0,2018-01-20 06:55:00,2018-01-20 10:10:00,195.0,53.0,40.0
NV309,NV316,I,I,PK454,PK112,2,0.0,1,0,1,0,2018-01-20 05:15:00,2018-01-20 10:10:00,295.0,53.0,40.0
NV689,NV316,I,I,PK464,PK112,2,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 10:10:00,225.0,53.0,40.0
NV665,NV316,I,I,PK468,PK112,1,0.0,1,0,1,0,2018-01-20 07:00:00,2018-01-20 10:10:00,190.0,53.0,40.0
NV3992,NV316,D,I,PK474,PK112,2,0.0,0,1,1,0,2018-01-20 08:25:00,2018-01-20 10:10:00,105.0,73.0,55.0
NV883,NV6616,I,D,PK466,PK185,1,0.0,1,0,0,1,2018-01-20 06:55:00,2018-01-20 08:55:00,120.0,81.0,55.0
NV871,NV6616,I,D,PK455,PK185,2,0.0,1,0,0,1,2018-01-20 05:20:00,2018-01-20 08:55:00,215.0,81.0,55.0
NV847,NV6616,I,D,PK453,PK185,2,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 08:55:00,235.0,81.0,55.0
NV309,NV6616,I,D,PK454,PK185,13,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 08:55:00,220.0,81.0,55.0
NV689,NV6616,I,D,PK464,PK185,3,0.0,1,0,0,1,2018-01-20 06:25:00,2018-01-20 08:55:00,150.0,81.0,55.0
NV665,NV6616,I,D,PK468,PK185,3,0.0,1,0,0,1,2018-01-20 07:00:00,2018-01-20 08:55:00,115.0,81.0,55.0
NV659,NV6616,I,D,PK471,PK185,2,0.0,1,0,0,1,2018-01-20 07:20:00,2018-01-20 08:55:00,95.0,81.0,55.0
NV891,NV6616,I,D,PK458,PK185,3,0.0,1,0,0,1,2018-01-20 05:45:00,2018-01-20 08:55:00,190.0,81.0,55.0
NV851,NV6616,I,D,PK461,PK185,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 08:55:00,180.0,81.0,55.0
NV883,NV6160,I,I,PK466,PK190,1,0.0,1,0,1,0,2018-01-20 06:55:00,2018-01-20 10:15:00,200.0,53.0,40.0
NV689,NV6160,I,I,PK464,PK190,2,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 10:15:00,230.0,53.0,40.0
NV659,NV6160,I,I,PK471,PK190,1,0.0,1,0,1,0,2018-01-20 07:20:00,2018-01-20 10:15:00,175.0,53.0,40.0
NV393,NV6160,I,I,PK472,PK190,2,0.0,1,0,1,0,2018-01-20 07:05:00,2018-01-20 10:15:00,190.0,53.0,40.0
NV3992,NV6160,D,I,PK474,PK190,2,0.0,0,1,1,0,2018-01-20 08:25:00,2018-01-20 10:15:00,110.0,73.0,55.0
NV343,NV6152,I,I,PK460,PK450,27,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 09:15:00,200.0,53.0,40.0
NV871,NV6152,I,I,PK455,PK450,26,0.0,1,0,1,0,2018-01-20 05:20:00,2018-01-20 09:15:00,235.0,53.0,40.0
NV309,NV6152,I,I,PK454,PK450,7,0.0,1,0,1,0,2018-01-20 05:15:00,2018-01-20 09:15:00,240.0,53.0,40.0
NV689,NV6152,I,I,PK464,PK450,11,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 09:15:00,170.0,53.0,40.0
NV659,NV6152,I,I,PK471,PK450,4,0.0,1,0,1,0,2018-01-20 07:20:00,2018-01-20 09:15:00,115.0,53.0,40.0
NV891,NV6152,I,I,PK458,PK450,3,0.0,1,0,1,0,2018-01-20 05:45:00,2018-01-20 09:15:00,210.0,53.0,40.0
NV851,NV6152,I,I,PK461,PK450,7,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 09:15:00,200.0,53.0,40.0
NV347,NV6152,I,I,PK456,PK450,2,0.0,1,0,1,0,2018-01-20 05:35:00,2018-01-20 09:15:00,220.0,53.0,40.0
NV343,NV630,I,I,PK460,PK474,2,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 09:30:00,215.0,53.0,40.0
NV655,NV630,I,I,PK457,PK474,1,0.0,1,0,1,0,2018-01-20 05:40:00,2018-01-20 09:30:00,230.0,53.0,40.0
NV689,NV630,I,I,PK464,PK474,2,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 09:30:00,185.0,53.0,40.0
NV659,NV630,I,I,PK471,PK474,1,0.0,1,0,1,0,2018-01-20 07:20:00,2018-01-20 09:30:00,130.0,53.0,40.0
NV343,NV336,I,I,PK460,PK165,2,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 08:55:00,180.0,53.0,40.0
NV847,NV336,I,I,PK453,PK165,2,0.0,1,0,1,0,2018-01-20 05:00:00,2018-01-20 08:55:00,235.0,53.0,40.0
NV665,NV336,I,I,PK468,PK165,1,0.0,1,0,1,0,2018-01-20 07:00:00,2018-01-20 08:55:00,115.0,53.0,40.0
NV851,NV336,I,I,PK461,PK165,3,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 08:55:00,180.0,53.0,40.0
NV675,NV336,I,I,PK452,PK165,2,0.0,1,0,1,0,2018-01-20 04:55:00,2018-01-20 08:55:00,240.0,53.0,40.0
NV343,NV6504,I,D,PK460,PK193,1,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 09:20:00,205.0,81.0,55.0
NV665,NV6504,I,D,PK468,PK193,2,0.0,1,0,0,1,2018-01-20 07:00:00,2018-01-20 09:20:00,140.0,81.0,55.0
NV347,NV6504,I,D,PK456,PK193,4,0.0,1,0,0,1,2018-01-20 05:35:00,2018-01-20 09:20:00,225.0,81.0,55.0
NV343,NV634,I,I,PK460,PK454,1,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 09:10:00,195.0,53.0,40.0
NV847,NV634,I,I,PK453,PK454,1,0.0,1,0,1,0,2018-01-20 05:00:00,2018-01-20 09:10:00,250.0,53.0,40.0
NV309,NV634,I,I,PK454,PK454,10,1.0,1,0,1,0,2018-01-20 05:15:00,2018-01-20 09:10:00,235.0,53.0,40.0
NV689,NV634,I,I,PK464,PK454,2,0.0,1,0,1,0,2018-01-20 06:25:00,2018-01-20 09:10:00,165.0,53.0,40.0
NV659,NV634,I,I,PK471,PK454,3,0.0,1,0,1,0,2018-01-20 07:20:00,2018-01-20 09:10:00,110.0,53.0,40.0
NV891,NV634,I,I,PK458,PK454,1,0.0,1,0,1,0,2018-01-20 05:45:00,2018-01-20 09:10:00,205.0,53.0,40.0
NV393,NV634,I,I,PK472,PK454,1,0.0,1,0,1,0,2018-01-20 07:05:00,2018-01-20 09:10:00,125.0,53.0,40.0
NV675,NV634,I,I,PK452,PK454,1,0.0,1,0,1,0,2018-01-20 04:55:00,2018-01-20 09:10:00,255.0,53.0,40.0
