"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数
NV6685,NV6726,D,D,PK300,PK329,3
NV6731,NV6713,D,D,PK262,PK266,3
NV6698,NV858,D,I,PK480,PK265,3
NV632,NV346,D,I,PK258,PK456,3
NV6684,NV810,D,I,PK482,PK445,3
NV891,NV6616,I,D,PK458,PK185,3
NV633,NV6714,I,D,PK375,PK369,3
NV633,NV6544,I,D,PK375,PK376,3
NV689,NV6616,I,D,PK464,PK185,3
NV6698,NV628,D,I,PK480,PK485,3
NV6733,NV654,D,I,PK410,PK377,3
NV6733,NV846,D,I,PK410,PK370,3
NV3120,NV318,D,I,PK257,PK464,3
NV6699,NV880,D,I,PK165,PK106,3
NV6731,NV6488,D,D,PK262,PK256,3
NV6241,NV320,D,I,PK168,PK131,3
NV6725,NV846,D,I,PK147,PK129,3
NV6725,NV392,D,I,PK389,PK402,3
NV6241,NV840,D,I,PK168,PK104,3
NV3120,NV6144,D,I,PK257,PK261,3
NV6715,NV834,D,I,PK325,PK327,3
NV6715,NV624,D,I,PK325,PK344,3
GN0629,NV664,D,I,PK406,PK363,3
NV6714,NV6720,D,D,PK369,PK346,3
NV629,NV834,I,I,PK311,PK327,3
NV6713,NV670,D,I,PK266,PK468,3
NV6711,NV848,D,I,PK301,PK316,3
NV6684,NV694,D,I,PK482,PK453,3
NV827,NV320,I,I,PK140,PK131,3
NV6294,NV898,D,I,PK253,PK159,3
NV6731,NV614,D,I,PK262,PK260,3
NV6307,NV640,D,I,PK272,PK466,3
NV883,NV6514,I,D,PK466,PK195,3
NV891,NV6152,I,I,PK458,PK450,3
NV6684,NV632,D,I,PK482,PK258,3
NV659,NV634,I,I,PK471,PK454,3
NV6527,NV846,D,I,PK381,PK370,3
NV6533,NV858,D,I,PK493,PK265,3
NV675,NV6708,I,D,PK452,PK443,3
NV6772,NV846,D,I,PK395,PK370,3
NV302,NV638,D,I,PK319,PK334,3
NV6772,NV664,D,I,PK153,PK107,3
NV6753,NV6134,D,I,PK378,PK391,3
NV6633,NV840,D,I,PK398,PK349,3
NV6633,NV664,D,I,PK398,PK363,3
NV6551,NV840,D,I,PK388,PK349,3
NV6405,NV840,D,I,PK418,PK349,3
NV6763,NV6472,D,D,PK376,PK356,3
NV6551,NV846,D,I,PK146,PK129,3
NV6551,NV880,D,I,PK146,PK106,3
NV303,NV676,I,I,PK268,PK463,3
NV304,NV642,D,I,PK332,PK337,3
NV657,NV3702,I,I,PK316,PK330,3
NV831,NV699,I,D,PK353,PK374,3
NV6763,NV836,D,I,PK376,PK378,3
NV6577,NV694,D,I,PK477,PK453,3
NV6642,NV880,D,I,PK401,PK458,3
NV6643,NV846,D,I,PK402,PK370,3
NV665,GN0628,I,D,PK468,PK462,3
NV6785,NV662,D,I,PK271,PK094,3
NV309,NV6230,I,D,PK454,PK155,3
NV6577,NV632,D,I,PK477,PK258,3
NV6684,NV346,D,I,PK482,PK456,3
NV6684,NV318,D,I,PK482,PK464,3
NV643,NV674,I,I,PK269,PK280,3
NV6737,NV654,D,I,PK414,PK377,3
NV687,NV6488,I,D,PK261,PK256,3
NV6737,NV846,D,I,PK169,PK129,3
NV6655,NV670,D,I,PK491,PK468,3
NV6653,NV846,D,I,PK407,PK370,3
NV6443,NV810,D,I,PK256,PK445,3
NV6453,NV304,D,I,PK315,PK332,3
NV6453,NV686,D,I,PK315,PK301,3
NV6653,NV840,D,I,PK407,PK349,3
NV6479,NV690,D,I,PK498,PK208,3
NV6739,NV6811,D,D,PK357,PK399,3
NV6489,NV6811,D,D,PK352,PK399,3
NV665,NV6616,I,D,PK468,PK185,3
NV674,NV6116,D,I,PK280,PK292,3
NV6405,NV880,D,I,PK174,PK106,3
NV859,NV6811,I,D,PK366,PK399,3
NV309,NV6514,I,D,PK454,PK195,3
NV317,NV664,I,I,PK391,PK363,3
NV847,NV675,I,D,PK453,PK452,3
NV6145,NV3131,I,D,PK343,PK351,3
NV347,NV6734,I,D,PK456,PK171,3
NV3992,NV698,D,I,PK474,PK487,3
NV3992,NV632,D,I,PK474,PK258,3
NV3992,NV628,D,I,PK474,PK485,3
NV3620,NV346,D,I,PK481,PK456,3
NV851,NV336,I,I,PK461,PK165,3
NV3622,NV608,D,I,PK134,PK108,3
NV399,NV688,I,I,PK359,PK347,3
NV849,NV6772,I,D,PK377,PK395,3
NV3654,NV686,D,I,PK294,PK301,3
NV849,NV6652,I,D,PK377,PK407,3
NV3702,NV848,D,I,PK330,PK316,3
NV6157,NV3196,I,I,PK467,PK475,3
NV6145,NV831,I,D,PK343,PK353,3
NV873,NV629,I,D,PK296,PK311,3
NV383,NV6685,I,D,PK290,PK300,3
NV6145,NV848,I,I,PK343,PK316,3
NV6145,NV860,I,I,PK343,PK365,3
NV383,NV0746,I,D,PK290,PK315,3
NV613,NV6710,I,D,PK303,PK325,3
NV382,NV624,D,I,PK313,PK344,3
NV859,NV836,I,I,PK366,PK378,3
NV323,NV898,I,I,PK260,PK159,3
NV883,GN0628,I,D,PK466,PK462,3
NV3992,NV346,D,I,PK474,PK456,3
NV6199,NV6642,I,D,PK372,PK401,3
NV831,NV859,I,D,PK353,PK366,3
NV859,NV688,I,I,PK366,PK347,3
NV847,NV6738,I,D,PK453,PK117,3
NV613,NV6726,I,D,PK303,PK329,3
NV6119,NV688,I,I,PK340,PK347,3
NV6117,NV882,I,I,PK393,PK338,3
NV3266,NV686,D,I,PK284,PK301,3
NV6642,NV320,D,I,PK160,PK131,2
NV6117,NV840,I,I,PK393,PK349,2
NV6642,NV320,D,I,PK401,PK373,2
NV6551,NV846,D,I,PK388,PK370,2
NV6642,NV6134,D,I,PK401,PK391,2
NV6119,NV3131,I,D,PK340,PK351,2
NV847,NV6700,I,D,PK453,PK473,2
NV6642,NV846,D,I,PK401,PK370,2
NV6577,NV6144,D,I,PK477,PK261,2
NV847,NV6616,I,D,PK453,PK185,2
NV6633,NV882,D,I,PK398,PK338,2
NV849,NV3655,I,D,PK377,PK372,2
NV6643,NV664,D,I,PK402,PK363,2
NV847,NV6514,I,D,PK453,PK195,2
NV6643,NV880,D,I,PK402,PK458,2
NV6772,NV608,D,I,PK153,PK108,2
NV675,NV336,I,I,PK452,PK165,2
NV674,NV682,D,I,PK280,PK471,2
NV305,NV676,I,I,PK270,PK463,2
NV6645,NV632,D,I,PK479,PK258,2
NV6551,NV320,D,I,PK388,PK373,2
NV323,NV6510,I,D,PK260,PK276,2
NV6577,NV318,D,I,PK477,PK464,2
NV393,NV6160,I,I,PK472,PK190,2
NV677,NV3446,I,D,PK449,PK150,2
NV3992,NV828,D,I,PK474,PK461,2
NV6577,NV698,D,I,PK477,PK487,2
NV6575,NV686,D,I,PK293,PK301,2
NV6575,NV642,D,I,PK293,PK337,2
NV6577,NV858,D,I,PK477,PK265,2
NV6117,NV320,I,I,PK151,PK131,2
NV6578,NV840,D,I,PK394,PK349,2
NV6575,NV616,D,I,PK293,PK303,2
NV3992,NV6160,D,I,PK474,PK190,2
NV382,NV860,D,I,PK313,PK365,2
NV3992,NV316,D,I,PK474,PK112,2
NV659,NV6577,I,D,PK471,PK477,2
NV659,NV6616,I,D,PK471,PK185,2
NV399,NV699,I,D,PK359,PK374,2
NV831,NV6714,I,D,PK353,PK369,2
NV659,NV828,I,I,PK471,PK461,2
NV6633,NV320,D,I,PK157,PK131,2
NV6753,NV882,D,I,PK378,PK338,2
NV303,NV3703,I,D,PK268,PK278,2
NV6575,NV302,D,I,PK293,PK319,2
NV6117,NV608,I,I,PK151,PK108,2
NV399,NV6528,I,D,PK359,PK381,2
NV383,GN0348,I,D,PK290,PK307,2
NV849,NV6632,I,D,PK377,PK398,2
NV6739,NV836,D,I,PK357,PK378,2
NV343,NV630,I,I,PK460,PK474,2
NV6709,NV6742,D,D,PK297,PK295,2
NV6709,NV834,D,I,PK297,PK327,2
NV6711,NV3702,D,I,PK301,PK330,2
NV6731,NV346,D,I,PK262,PK456,2
NV6711,NV642,D,I,PK301,PK337,2
NV851,NV6738,I,D,PK461,PK117,2
NV347,NV6152,I,I,PK456,PK450,2
NV6713,NV346,D,I,PK266,PK456,2
NV6731,NV318,D,I,PK262,PK464,2
NV6713,NV610,D,I,PK266,PK274,2
NV347,NV3263,I,D,PK456,PK170,2
NV6731,NV3118,D,I,PK262,PK253,2
NV858,NV6118,D,I,PK265,PK460,2
NV891,NV6724,I,D,PK458,PK147,2
NV3270,NV320,D,I,PK170,PK131,2
NV665,NV6504,I,D,PK468,PK193,2
NV343,NV336,I,I,PK460,PK165,2
NV6715,NV642,D,I,PK325,PK337,2
GN0571,NV318,D,I,PK492,PK464,2
NV6717,NV834,D,I,PK337,PK327,2
GN0477,NV686,D,I,PK299,PK301,2
NV3287,NV616,D,I,PK282,PK303,2
NV673,NV6325,I,D,PK373,PK380,2
NV673,NV6297,I,D,PK373,PK368,2
NV6725,NV608,D,I,PK147,PK108,2
NV3278,NV608,D,I,PK150,PK108,2
NV6725,NV846,D,I,PK389,PK370,2
NV6725,NV880,D,I,PK147,PK106,2
GN0423,NV686,D,I,PK310,PK301,2
NV673,NV3655,I,D,PK373,PK372,2
GN0629,NV882,D,I,PK406,PK338,2
NV6709,NV616,D,I,PK297,PK303,2
NV6700,NV698,D,I,PK473,PK487,2
NV6700,NV670,D,I,PK473,PK468,2
NV665,NV6576,I,D,PK468,PK472,2
NV6739,NV688,D,I,PK357,PK347,2
NV382,NV642,D,I,PK313,PK337,2
NV6655,NV640,D,I,PK491,PK466,2
NV3786,NV658,D,I,PK348,PK352,2
NV6737,NV840,D,I,PK414,PK349,2
NV6737,NV664,D,I,PK414,PK363,2
NV3260,NV672,D,I,PK326,PK308,2
GN0641,NV664,D,I,PK367,PK363,2
NV6737,NV608,D,I,PK169,PK108,2
NV6663,NV392,D,I,PK365,PK402,2
NV6737,NV322,D,I,PK414,PK386,2
NV3703,NV6722,I,D,PK278,PK196,2
GN0641,NV664,D,I,PK126,PK107,2
NV6735,NV6318,D,D,PK286,PK294,2
NV6685,NV830,D,I,PK300,PK275,2
NV6697,NV346,D,I,PK478,PK456,2
GN0639,NV880,D,I,PK424,PK458,2
NV851,NV3263,I,D,PK461,PK170,2
NV6697,NV828,D,I,PK478,PK461,2
NV3620,NV828,D,I,PK481,PK461,2
NV3260,NV830,D,I,PK326,PK275,2
NV6698,NV640,D,I,PK480,PK466,2
NV3620,NV628,D,I,PK481,PK485,2
NV6699,NV320,D,I,PK408,PK373,2
NV3620,NV318,D,I,PK481,PK464,2
NV851,NV6577,I,D,PK461,PK477,2
NV3513,NV674,D,I,PK490,PK280,2
NV6700,NV3120,D,I,PK473,PK257,2
NV883,NV6612,I,D,PK466,PK478,2
NV6117,NV320,I,I,PK393,PK373,2
NV6772,NV880,D,I,PK395,PK458,2
NV641,NV860,I,I,PK317,PK365,2
NV6377,NV831,D,D,PK327,PK353,2
NV6294,NV698,D,I,PK253,PK487,2
NV6405,NV840,D,I,PK174,PK104,2
NV835,NV690,I,I,PK275,PK208,2
NV6153,NV3273,I,D,PK292,PK297,2
NV835,NV6722,I,D,PK275,PK196,2
NV841,NV6574,I,D,PK274,PK293,2
NV6294,NV614,D,I,PK253,PK260,2
NV6171,NV6685,I,D,PK295,PK300,2
NV317,NV320,I,I,PK391,PK373,2
NV6294,NV318,D,I,PK253,PK464,2
NV689,NV316,I,I,PK464,PK112,2
NV629,NV848,I,I,PK311,PK316,2
NV6453,NV308,D,I,PK315,PK333,2
NV643,NV3194,I,D,PK269,PK499,2
NV687,NV6713,I,D,PK261,PK266,2
NV643,NV6488,I,D,PK269,PK256,2
NV643,NV670,I,I,PK269,PK468,2
NV615,NV6325,I,D,PK354,PK380,2
NV619,NV688,I,I,PK344,PK347,2
NV6443,NV632,D,I,PK256,PK258,2
NV837,NV3194,I,D,PK499,PK499,2
NV629,NV3273,I,D,PK311,PK297,2
NV6145,NV672,I,I,PK343,PK308,2
NV6145,NV6588,I,D,PK343,PK331,2
NV628,NV858,D,I,PK485,PK265,2
NV6294,NV828,D,I,PK253,PK461,2
NV837,NV318,I,I,PK499,PK464,2
NV871,NV6616,I,D,PK455,PK185,2
NV859,NV6478,I,D,PK366,PK396,2
NV632,NV692,D,I,PK258,PK089,2
NV632,NV858,D,I,PK258,PK265,2
NV6163,NV698,I,I,PK495,PK487,2
NV689,NV6734,I,D,PK464,PK171,2
NV698,NV810,D,I,PK487,PK445,2
NV689,NV6700,I,D,PK464,PK473,2
NV689,NV6684,I,D,PK464,PK482,2
NV633,NV3993,I,D,PK375,PK414,2
NV6163,NV810,I,I,PK495,PK445,2
NV837,NV670,I,I,PK499,PK468,2
NV813,NV3702,I,I,PK324,PK330,2
NV6307,NV690,D,I,PK272,PK208,2
NV633,NV840,I,I,PK133,PK104,2
NV6163,NV898,I,I,PK495,PK159,2
NV617,NV880,I,I,PK427,PK458,2
NV309,NV675,I,D,PK454,PK452,2
NV689,NV634,I,I,PK464,PK454,2
NV689,NV630,I,I,PK464,PK474,2
NV6301,NV6720,D,D,PK346,PK346,2
NV6153,NV6742,I,D,PK292,PK295,2
NV689,NV6160,I,I,PK464,PK190,2
NV6549,NV840,D,I,PK390,PK349,2
NV841,NV3269,I,D,PK274,PK284,2
NV3120,NV898,D,I,PK257,PK159,2
NV873,NV6736,I,D,PK296,PK317,2
NV317,NV608,I,I,PK149,PK108,2
NV698,NV398,D,I,PK487,PK271,2
NV679,NV880,I,I,PK411,PK458,2
NV6505,NV664,D,I,PK405,PK363,2
NV6785,NV674,D,I,PK271,PK280,2
NV651,NV846,I,I,PK159,PK129,2
NV6535,NV6198,D,I,PK273,PK286,2
NV317,NV6652,I,D,PK391,PK407,2
NV6513,NV670,D,I,PK254,PK468,2
NV6785,NV640,D,I,PK271,PK466,2
NV6513,NV698,D,I,PK254,PK487,2
NV309,NV3615,I,D,PK454,PK447,2
NV628,NV828,D,I,PK485,PK461,2
NV6135,NV303,I,D,PK475,PK268,2
NV831,NV6544,I,D,PK353,PK376,2
NV3120,NV662,D,I,PK257,PK094,2
NV309,NV316,I,I,PK454,PK112,2
NV6135,NV318,I,I,PK475,PK464,2
NV6773,NV6118,D,I,PK488,PK460,2
NV6533,NV698,D,I,PK493,PK487,2
NV831,NV836,I,I,PK353,PK378,2
NV6527,NV880,D,I,PK381,PK458,2
NV6533,NV3120,D,I,PK493,PK257,2
NV307,NV6784,I,D,PK334,PK359,2
NV6533,NV346,D,I,PK493,PK456,2
NV6505,NV840,D,I,PK405,PK349,2
NV651,NV840,I,I,PK159,PK104,2
NV6145,NV3655,I,D,PK343,PK372,2
NV6145,NV633,I,D,PK343,PK375,2
NV621,NV664,I,I,PK386,PK363,2
NV6145,NV6544,I,D,PK343,PK376,2
NV679,NV664,I,I,PK167,PK107,2
NV827,NV664,I,I,PK140,PK107,2
NV6479,NV318,D,I,PK498,PK464,2
NV679,NV608,I,I,PK167,PK108,2
NV627,NV860,I,I,PK322,PK365,2
NV6479,NV670,D,I,PK498,PK468,2
NV621,NV664,I,I,PK144,PK107,2
NV6785,NV692,D,I,PK271,PK089,2
NV6773,NV305,D,D,PK488,PK254,2
NV831,NV860,I,I,PK353,PK365,2
NV847,NV336,I,I,PK453,PK165,2
NV6489,NV6784,D,D,PK352,PK359,2
NV6199,NV6652,I,D,PK372,PK407,2
NV883,NV316,I,I,PK466,PK112,1
NV698,NV690,D,I,PK487,PK208,1
NV831,NV6578,I,D,PK353,PK480,1
NV6731,NV674,D,I,PK262,PK280,1
NV831,NV6642,I,D,PK353,PK401,1
NV698,NV820,D,I,PK487,PK263,1
NV873,NV6308,I,D,PK296,PK272,1
NV813,NV308,I,I,PK324,PK333,1
NV6731,NV898,D,I,PK262,PK159,1
NV851,NV6576,I,D,PK461,PK472,1
NV851,NV6514,I,D,PK461,PK195,1
NV6731,NV692,D,I,PK262,PK089,1
NV859,NV308,I,I,PK366,PK333,1
NV673,NV3993,I,D,PK373,PK414,1
NV858,NV694,D,I,PK265,PK453,1
NV827,NV6632,I,D,PK382,PK398,1
NV858,NV690,D,I,PK265,PK208,1
NV673,NV6642,I,D,PK373,PK401,1
NV827,NV6578,I,D,PK382,PK480,1
NV891,NV6700,I,D,PK458,PK473,1
NV835,NV383,I,D,PK275,PK290,1
NV835,NV6198,I,I,PK275,PK286,1
NV827,NV6772,I,D,PK382,PK395,1
NV673,NV608,I,I,PK131,PK108,1
NV6731,NV610,D,I,PK262,PK274,1
NV827,NV6811,I,D,PK382,PK399,1
NV831,NV6325,I,D,PK353,PK380,1
NV851,NV6734,I,D,PK461,PK171,1
NV859,NV3655,I,D,PK366,PK372,1
NV813,NV638,I,I,PK324,PK334,1
NV851,NV6616,I,D,PK461,PK185,1
NV858,NV398,D,I,PK265,PK271,1
NV6737,NV846,D,I,PK414,PK370,1
NV6733,NV664,D,I,PK410,PK363,1
NV675,NV3446,I,D,PK452,PK150,1
NV675,NV634,I,I,PK452,PK454,1
NV871,NV3263,I,D,PK455,PK170,1
NV849,NV3652,I,D,PK377,PK415,1
NV6811,NV880,D,I,PK399,PK458,1
NV6753,NV3652,D,D,PK378,PK415,1
NV849,NV320,I,I,PK377,PK373,1
NV847,NV6762,I,D,PK453,PK467,1
NV679,NV664,I,I,PK411,PK363,1
NV6753,NV846,D,I,PK378,PK370,1
NV6785,NV694,D,I,PK271,PK453,1
NV847,GN0678,I,D,PK453,PK442,1
NV6763,NV392,D,I,PK376,PK402,1
NV6785,NV690,D,I,PK271,PK208,1
NV6785,NV676,D,I,PK271,PK463,1
NV6763,NV654,D,I,PK376,PK377,1
NV847,NV6748,I,D,PK453,PK179,1
NV6773,NV828,D,I,PK488,PK461,1
NV847,NV3446,I,D,PK453,PK150,1
NV847,NV3615,I,D,PK453,PK447,1
NV6773,NV670,D,I,PK488,PK468,1
NV871,NV3615,I,D,PK455,PK447,1
NV847,NV6708,I,D,PK453,PK443,1
NV891,NV3263,I,D,PK458,PK170,1
NV6773,NV614,D,I,PK488,PK260,1
NV677,NV6724,I,D,PK449,PK147,1
NV6773,NV318,D,I,PK488,PK464,1
NV883,NV6616,I,D,PK466,PK185,1
NV847,NV6376,I,D,PK453,PK168,1
NV847,NV634,I,I,PK453,PK454,1
NV687,NV6540,I,D,PK261,PK145,1
NV849,NV608,I,I,PK135,PK108,1
NV851,NV3280,I,D,PK461,PK174,1
